epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1568492160203,2019-09-14T16:16:00.203,0.000,0.000122688,-0.000174813,-0.000158625
1568492160253,2019-09-14T16:16:00.253,0.050,0.000121625,-0.000175875,-0.000158688
1568492160303,2019-09-14T16:16:00.303,0.100,0.000122313,-0.000175875,-0.000158688
1568492160353,2019-09-14T16:16:00.353,0.150,0.000121937,-0.000176250,-0.000158688
1568492160403,2019-09-14T16:16:00.403,0.200,0.000122313,-0.000175562,-0.000158312
1568492160453,2019-09-14T16:16:00.453,0.250,0.000123063,-0.000176250,-0.000158312
1568492160503,2019-09-14T16:16:00.503,0.300,0.000122688,-0.000175562,-0.000159125
1568492160553,2019-09-14T16:16:00.553,0.350,0.000122688,-0.000175187,-0.000158000
1568492160603,2019-09-14T16:16:00.603,0.400,0.000122313,-0.000176625,-0.000158375
1568492160653,2019-09-14T16:16:00.653,0.450,0.000121250,-0.000175938,-0.000159937
1568492160703,2019-09-14T16:16:00.703,0.500,0.000119813,-0.000177000,-0.000159937
1568492160753,2019-09-14T16:16:00.753,0.550,0.000117625,-0.000177000,-0.000161063
1568492160803,2019-09-14T16:16:00.803,0.600,0.000113625,-0.000174813,-0.000161438
1568492160853,2019-09-14T16:16:00.853,0.650,0.000111500,-0.000176625,-0.000159563
1568492160903,2019-09-14T16:16:00.903,0.700,0.000110750,-0.000174813,-0.000158813
1568492160953,2019-09-14T16:16:00.953,0.750,0.000110375,-0.000174438,-0.000158000
1568492161003,2019-09-14T16:16:01.003,0.800,0.000109313,-0.000174125,-0.000159937
1568492161053,2019-09-14T16:16:01.053,0.850,0.000109313,-0.000173375,-0.000157625
1568492161103,2019-09-14T16:16:01.103,0.900,0.000110000,-0.000173750,-0.000158000
1568492161153,2019-09-14T16:16:01.153,0.950,0.000108562,-0.000174813,-0.000158813
1568492161203,2019-09-14T16:16:01.203,1.000,0.000108938,-0.000175187,-0.000158000
1568492161253,2019-09-14T16:16:01.253,1.050,0.000109313,-0.000174125,-0.000158062
1568492161303,2019-09-14T16:16:01.303,1.100,0.000108188,-0.000174813,-0.000158062
1568492161353,2019-09-14T16:16:01.353,1.150,0.000108938,-0.000175187,-0.000158813
1568492161403,2019-09-14T16:16:01.403,1.200,0.000109313,-0.000175562,-0.000158813
1568492161453,2019-09-14T16:16:01.453,1.250,0.000110000,-0.000175938,-0.000159937
1568492161503,2019-09-14T16:16:01.503,1.300,0.000111125,-0.000177375,-0.000162563
1568492161553,2019-09-14T16:16:01.553,1.350,0.000113312,-0.000176625,-0.000164187
1568492161603,2019-09-14T16:16:01.603,1.400,0.000115813,-0.000177375,-0.000163750
1568492161653,2019-09-14T16:16:01.653,1.450,0.000118375,-0.000177750,-0.000163687
1568492161703,2019-09-14T16:16:01.703,1.500,0.000118000,-0.000177750,-0.000165250
1568492161753,2019-09-14T16:16:01.753,1.550,0.000119062,-0.000175938,-0.000164875
1568492161803,2019-09-14T16:16:01.803,1.600,0.000117625,-0.000176250,-0.000166062
1568492161853,2019-09-14T16:16:01.853,1.650,0.000119437,-0.000177000,-0.000166438
1568492161903,2019-09-14T16:16:01.903,1.700,0.000120500,-0.000176625,-0.000167562
1568492161953,2019-09-14T16:16:01.953,1.750,0.000120187,-0.000174813,-0.000167937
1568492162003,2019-09-14T16:16:02.003,1.800,0.000119813,-0.000175938,-0.000168000
1568492162053,2019-09-14T16:16:02.053,1.850,0.000119437,-0.000175187,-0.000168688
1568492162103,2019-09-14T16:16:02.103,1.900,0.000118688,-0.000175562,-0.000168750
1568492162153,2019-09-14T16:16:02.153,1.950,0.000119437,-0.000176250,-0.000168313
1568492162203,2019-09-14T16:16:02.203,2.000,0.000119062,-0.000176625,-0.000169437
1568492162253,2019-09-14T16:16:02.253,2.050,0.000120187,-0.000174813,-0.000168375
1568492162303,2019-09-14T16:16:02.303,2.100,0.000121250,-0.000174813,-0.000169437
1568492162353,2019-09-14T16:16:02.353,2.150,0.000121625,-0.000173375,-0.000169063
1568492162403,2019-09-14T16:16:02.403,2.200,0.000122313,-0.000174500,-0.000166813
1568492162453,2019-09-14T16:16:02.453,2.250,0.000123437,-0.000174125,-0.000167188
1568492162503,2019-09-14T16:16:02.503,2.300,0.000124500,-0.000172688,-0.000165625
1568492162553,2019-09-14T16:16:02.553,2.350,0.000124500,-0.000173000,-0.000167125
1568492162603,2019-09-14T16:16:02.603,2.400,0.000125937,-0.000173375,-0.000167562
1568492162653,2019-09-14T16:16:02.653,2.450,0.000125937,-0.000172625,-0.000167125
1568492162703,2019-09-14T16:16:02.703,2.500,0.000127063,-0.000172313,-0.000168000
1568492162753,2019-09-14T16:16:02.753,2.550,0.000124500,-0.000172313,-0.000168750
