epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568492160195,2019-09-14T16:16:00.195,0.000,99174.297
1568492160331,2019-09-14T16:16:00.331,0.136,99168.625
1568492160466,2019-09-14T16:16:00.466,0.271,99169.453
1568492160602,2019-09-14T16:16:00.602,0.407,99170.289
1568492160737,2019-09-14T16:16:00.737,0.542,99174.297
1568492160873,2019-09-14T16:16:00.873,0.678,99164.234
1568492161009,2019-09-14T16:16:01.009,0.814,99165.531
1568492161144,2019-09-14T16:16:01.144,0.949,99163.750
1568492161280,2019-09-14T16:16:01.280,1.085,99165.891
1568492161416,2019-09-14T16:16:01.416,1.221,99167.203
1568492161551,2019-09-14T16:16:01.551,1.356,99164.977
1568492161687,2019-09-14T16:16:01.687,1.492,99165.891
1568492161822,2019-09-14T16:16:01.822,1.627,99166.367
1568492161958,2019-09-14T16:16:01.958,1.763,99167.586
1568492162095,2019-09-14T16:16:02.095,1.900,99167.203
1568492162229,2019-09-14T16:16:02.229,2.034,99165.891
1568492162366,2019-09-14T16:16:02.366,2.171,99165.453
1568492162502,2019-09-14T16:16:02.502,2.307,99166.453
1568492162637,2019-09-14T16:16:02.637,2.442,99165.625
1568492162773,2019-09-14T16:16:02.773,2.578,99167.016
1568492162909,2019-09-14T16:16:02.909,2.714,99161.039
1568492163044,2019-09-14T16:16:03.044,2.849,99164.570
1568492163180,2019-09-14T16:16:03.180,2.985,99164.688
1568492163315,2019-09-14T16:16:03.315,3.120,99169.141
1568492163451,2019-09-14T16:16:03.451,3.256,99162.250
1568492163587,2019-09-14T16:16:03.587,3.392,99165.859
1568492163722,2019-09-14T16:16:03.722,3.527,99162.063
1568492163858,2019-09-14T16:16:03.858,3.663,99158.633
1568492163995,2019-09-14T16:16:03.995,3.800,99162.672
1568492164129,2019-09-14T16:16:04.129,3.934,99157.891
1568492164266,2019-09-14T16:16:04.266,4.071,99162.758
1568492164400,2019-09-14T16:16:04.400,4.205,99164.148
1568492164536,2019-09-14T16:16:04.536,4.341,99155.922
1568492164673,2019-09-14T16:16:04.673,4.478,99159.844
1568492164807,2019-09-14T16:16:04.807,4.612,99162.922
1568492164944,2019-09-14T16:16:04.944,4.749,99162.094
1568492165080,2019-09-14T16:16:05.080,4.885,99162.094
1568492165215,2019-09-14T16:16:05.215,5.020,99161.703
1568492165351,2019-09-14T16:16:05.351,5.156,99164.789
1568492165486,2019-09-14T16:16:05.486,5.291,99161.344
1568492165622,2019-09-14T16:16:05.622,5.427,99160.039
