epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574111396978,2019-11-18T16:09:56.978,0.000,-1.707,-2.500,-3.963
1574111396988,2019-11-18T16:09:56.988,0.010,-1.707,-2.378,-3.537
1574111396998,2019-11-18T16:09:56.998,0.020,-1.463,-2.012,-3.110
1574111397008,2019-11-18T16:09:57.008,0.030,-0.854,-1.402,-3.537
1574111397018,2019-11-18T16:09:57.018,0.040,-0.976,-1.159,-4.024
1574111397028,2019-11-18T16:09:57.028,0.050,-0.854,-1.037,-3.720
1574111397038,2019-11-18T16:09:57.038,0.060,-0.061,-0.732,-3.354
1574111397048,2019-11-18T16:09:57.048,0.070,-0.183,-0.732,-3.476
1574111397058,2019-11-18T16:09:57.058,0.080,-1.220,-0.854,-3.780
1574111397068,2019-11-18T16:09:57.068,0.090,-1.402,-0.915,-4.207
1574111397078,2019-11-18T16:09:57.078,0.100,-1.341,-1.037,-4.756
1574111397088,2019-11-18T16:09:57.088,0.110,-1.402,-1.220,-5.305
1574111397098,2019-11-18T16:09:57.098,0.120,-1.341,-1.707,-5.549
1574111397108,2019-11-18T16:09:57.108,0.130,-1.098,-2.317,-5.122
1574111397118,2019-11-18T16:09:57.118,0.140,-0.793,-3.049,-4.268
1574111397128,2019-11-18T16:09:57.128,0.150,-0.488,-3.720,-3.659
1574111397138,2019-11-18T16:09:57.138,0.160,-0.549,-4.207,-3.110
1574111397148,2019-11-18T16:09:57.148,0.170,-0.549,-4.695,-2.622
1574111397158,2019-11-18T16:09:57.158,0.180,-0.610,-5.000,-1.890
1574111397168,2019-11-18T16:09:57.168,0.190,-0.366,-5.305,-0.427
1574111397178,2019-11-18T16:09:57.178,0.200,0.549,-5.671,1.341
1574111397188,2019-11-18T16:09:57.188,0.210,1.524,-6.037,2.927
1574111397198,2019-11-18T16:09:57.198,0.220,2.073,-6.646,3.780
1574111397208,2019-11-18T16:09:57.208,0.230,2.439,-7.195,4.634
1574111397218,2019-11-18T16:09:57.218,0.240,3.354,-7.317,5.244
1574111397228,2019-11-18T16:09:57.228,0.250,3.780,-7.439,5.793
1574111397238,2019-11-18T16:09:57.238,0.260,4.207,-7.256,6.585
1574111397248,2019-11-18T16:09:57.248,0.270,5.000,-6.707,7.256
1574111397258,2019-11-18T16:09:57.258,0.280,4.817,-6.463,7.317
1574111397268,2019-11-18T16:09:57.268,0.290,4.268,-5.854,7.866
1574111397278,2019-11-18T16:09:57.278,0.300,3.537,-5.061,8.720
1574111397288,2019-11-18T16:09:57.288,0.310,3.110,-4.146,9.390
1574111397298,2019-11-18T16:09:57.298,0.320,2.378,-3.232,10.122
