epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574112402258,2019-11-18T16:26:42.258,0.000,0.822,-0.640,-0.007
1574112402268,2019-11-18T16:26:42.268,0.010,0.823,-0.650,-0.008
1574112402278,2019-11-18T16:26:42.278,0.020,0.813,-0.650,-0.012
1574112402288,2019-11-18T16:26:42.288,0.030,0.810,-0.636,-0.014
1574112402298,2019-11-18T16:26:42.298,0.040,0.805,-0.625,-0.012
1574112402308,2019-11-18T16:26:42.308,0.050,0.797,-0.619,-0.013
1574112402318,2019-11-18T16:26:42.318,0.060,0.790,-0.612,-0.013
1574112402328,2019-11-18T16:26:42.328,0.070,0.787,-0.603,-0.013
1574112402338,2019-11-18T16:26:42.338,0.080,0.787,-0.600,-0.013
1574112402348,2019-11-18T16:26:42.348,0.090,0.793,-0.606,-0.012
1574112402358,2019-11-18T16:26:42.358,0.100,0.797,-0.610,-0.015
1574112402368,2019-11-18T16:26:42.368,0.110,0.800,-0.604,-0.016
1574112402378,2019-11-18T16:26:42.378,0.120,0.800,-0.595,-0.018
1574112402388,2019-11-18T16:26:42.388,0.130,0.806,-0.593,-0.016
1574112402398,2019-11-18T16:26:42.398,0.140,0.808,-0.597,-0.017
1574112402408,2019-11-18T16:26:42.408,0.150,0.810,-0.600,-0.020
1574112402418,2019-11-18T16:26:42.418,0.160,0.810,-0.604,-0.023
1574112402428,2019-11-18T16:26:42.428,0.170,0.815,-0.608,-0.024
1574112402438,2019-11-18T16:26:42.438,0.180,0.814,-0.618,-0.025
1574112402448,2019-11-18T16:26:42.448,0.190,0.816,-0.623,-0.031
1574112402458,2019-11-18T16:26:42.458,0.200,0.815,-0.623,-0.032
1574112402468,2019-11-18T16:26:42.468,0.210,0.809,-0.622,-0.031
1574112402478,2019-11-18T16:26:42.478,0.220,0.805,-0.621,-0.032
1574112402488,2019-11-18T16:26:42.488,0.230,0.789,-0.621,-0.040
1574112402498,2019-11-18T16:26:42.498,0.240,0.780,-0.601,-0.042
1574112402508,2019-11-18T16:26:42.508,0.250,0.785,-0.590,-0.046
1574112402518,2019-11-18T16:26:42.518,0.260,0.786,-0.588,-0.051
1574112402528,2019-11-18T16:26:42.528,0.270,0.794,-0.592,-0.053
1574112402538,2019-11-18T16:26:42.538,0.280,0.810,-0.610,-0.050
1574112402548,2019-11-18T16:26:42.548,0.290,0.806,-0.623,-0.059
1574112402558,2019-11-18T16:26:42.558,0.300,0.793,-0.625,-0.063
1574112402568,2019-11-18T16:26:42.568,0.310,0.792,-0.624,-0.059
1574112402578,2019-11-18T16:26:42.578,0.320,0.798,-0.628,-0.063
1574112402588,2019-11-18T16:26:42.588,0.330,0.807,-0.629,-0.068
1574112402598,2019-11-18T16:26:42.598,0.340,0.804,-0.614,-0.063
1574112402608,2019-11-18T16:26:42.608,0.350,0.809,-0.604,-0.057
1574112402618,2019-11-18T16:26:42.618,0.360,0.818,-0.602,-0.061
1574112402628,2019-11-18T16:26:42.628,0.370,0.823,-0.588,-0.056
1574112402638,2019-11-18T16:26:42.638,0.380,0.825,-0.566,-0.044
1574112402648,2019-11-18T16:26:42.648,0.390,0.827,-0.563,-0.043
1574112402658,2019-11-18T16:26:42.658,0.400,0.831,-0.570,-0.044
1574112402668,2019-11-18T16:26:42.668,0.410,0.837,-0.574,-0.043
1574112402678,2019-11-18T16:26:42.678,0.420,0.840,-0.566,-0.038
1574112402688,2019-11-18T16:26:42.688,0.430,0.843,-0.557,-0.035
1574112402698,2019-11-18T16:26:42.698,0.440,0.846,-0.558,-0.029
1574112402708,2019-11-18T16:26:42.708,0.450,0.850,-0.563,-0.028
1574112402718,2019-11-18T16:26:42.718,0.460,0.855,-0.569,-0.031
1574112402728,2019-11-18T16:26:42.728,0.470,0.858,-0.578,-0.025
1574112402738,2019-11-18T16:26:42.738,0.480,0.859,-0.587,-0.026
1574112402748,2019-11-18T16:26:42.748,0.490,0.857,-0.584,-0.023
1574112402758,2019-11-18T16:26:42.758,0.500,0.859,-0.578,-0.022
1574112402768,2019-11-18T16:26:42.768,0.510,0.856,-0.580,-0.024
1574112402778,2019-11-18T16:26:42.778,0.520,0.856,-0.582,-0.027
1574112402788,2019-11-18T16:26:42.788,0.530,0.850,-0.575,-0.026
1574112402798,2019-11-18T16:26:42.798,0.540,0.844,-0.575,-0.025
1574112402808,2019-11-18T16:26:42.808,0.550,0.844,-0.575,-0.026
1574112402818,2019-11-18T16:26:42.818,0.560,0.843,-0.581,-0.027
1574112402828,2019-11-18T16:26:42.828,0.570,0.833,-0.584,-0.030
