epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574112658209,2019-11-18T16:30:58.209,0.000,0.688,-0.732,0.062
1574112658219,2019-11-18T16:30:58.219,0.010,0.699,-0.737,0.063
1574112658229,2019-11-18T16:30:58.229,0.020,0.695,-0.739,0.063
1574112658239,2019-11-18T16:30:58.239,0.030,0.695,-0.738,0.062
1574112658249,2019-11-18T16:30:58.249,0.040,0.695,-0.736,0.061
1574112658259,2019-11-18T16:30:58.259,0.050,0.698,-0.736,0.060
1574112658269,2019-11-18T16:30:58.269,0.060,0.696,-0.739,0.062
1574112658279,2019-11-18T16:30:58.279,0.070,0.693,-0.735,0.061
1574112658289,2019-11-18T16:30:58.289,0.080,0.692,-0.732,0.062
1574112658299,2019-11-18T16:30:58.299,0.090,0.690,-0.735,0.063
1574112658309,2019-11-18T16:30:58.309,0.100,0.691,-0.733,0.063
1574112658319,2019-11-18T16:30:58.319,0.110,0.691,-0.729,0.064
1574112658329,2019-11-18T16:30:58.329,0.120,0.693,-0.729,0.067
1574112658339,2019-11-18T16:30:58.339,0.130,0.698,-0.732,0.066
1574112658349,2019-11-18T16:30:58.349,0.140,0.698,-0.732,0.065
1574112658359,2019-11-18T16:30:58.359,0.150,0.696,-0.731,0.064
1574112658369,2019-11-18T16:30:58.369,0.160,0.697,-0.735,0.063
1574112658379,2019-11-18T16:30:58.379,0.170,0.704,-0.738,0.061
1574112658389,2019-11-18T16:30:58.389,0.180,0.704,-0.738,0.064
1574112658399,2019-11-18T16:30:58.399,0.190,0.704,-0.733,0.068
1574112658409,2019-11-18T16:30:58.409,0.200,0.706,-0.727,0.067
1574112658419,2019-11-18T16:30:58.419,0.210,0.709,-0.726,0.071
1574112658429,2019-11-18T16:30:58.429,0.220,0.709,-0.727,0.074
1574112658439,2019-11-18T16:30:58.439,0.230,0.711,-0.729,0.070
1574112658449,2019-11-18T16:30:58.449,0.240,0.708,-0.731,0.068
1574112658459,2019-11-18T16:30:58.459,0.250,0.708,-0.740,0.067
1574112658469,2019-11-18T16:30:58.469,0.260,0.709,-0.750,0.065
1574112658479,2019-11-18T16:30:58.479,0.270,0.708,-0.748,0.066
1574112658489,2019-11-18T16:30:58.489,0.280,0.700,-0.735,0.067
1574112658499,2019-11-18T16:30:58.499,0.290,0.693,-0.733,0.069
1574112658509,2019-11-18T16:30:58.509,0.300,0.696,-0.734,0.068
1574112658519,2019-11-18T16:30:58.519,0.310,0.691,-0.720,0.069
1574112658529,2019-11-18T16:30:58.529,0.320,0.689,-0.716,0.070
1574112658539,2019-11-18T16:30:58.539,0.330,0.692,-0.726,0.069
1574112658549,2019-11-18T16:30:58.549,0.340,0.691,-0.730,0.069
1574112658559,2019-11-18T16:30:58.559,0.350,0.688,-0.730,0.068
1574112658569,2019-11-18T16:30:58.569,0.360,0.691,-0.727,0.068
1574112658579,2019-11-18T16:30:58.579,0.370,0.690,-0.726,0.069
1574112658589,2019-11-18T16:30:58.589,0.380,0.692,-0.725,0.072
1574112658599,2019-11-18T16:30:58.599,0.390,0.694,-0.723,0.070
1574112658609,2019-11-18T16:30:58.609,0.400,0.694,-0.719,0.073
1574112658619,2019-11-18T16:30:58.619,0.410,0.698,-0.723,0.071
1574112658629,2019-11-18T16:30:58.629,0.420,0.703,-0.727,0.070
1574112658639,2019-11-18T16:30:58.639,0.430,0.705,-0.732,0.071
1574112658649,2019-11-18T16:30:58.649,0.440,0.708,-0.733,0.071
1574112658659,2019-11-18T16:30:58.659,0.450,0.704,-0.729,0.071
1574112658669,2019-11-18T16:30:58.669,0.460,0.700,-0.727,0.070
1574112658679,2019-11-18T16:30:58.679,0.470,0.703,-0.727,0.067
1574112658689,2019-11-18T16:30:58.689,0.480,0.699,-0.727,0.067
1574112658699,2019-11-18T16:30:58.699,0.490,0.696,-0.720,0.070
1574112658709,2019-11-18T16:30:58.709,0.500,0.701,-0.718,0.067
1574112658719,2019-11-18T16:30:58.719,0.510,0.701,-0.722,0.067
