epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1574112658106,2019-11-18T16:30:58.106,0.000,0.000016625,0.000028625,-0.000015937
1574112658156,2019-11-18T16:30:58.156,0.050,0.000017000,0.000027563,-0.000015937
1574112658206,2019-11-18T16:30:58.206,0.100,0.000016250,0.000029375,-0.000017875
1574112658256,2019-11-18T16:30:58.256,0.150,0.000016625,0.000028625,-0.000017500
1574112658306,2019-11-18T16:30:58.306,0.200,0.000017000,0.000029000,-0.000016687
1574112658356,2019-11-18T16:30:58.356,0.250,0.000017375,0.000028625,-0.000016687
1574112658406,2019-11-18T16:30:58.406,0.300,0.000017688,0.000028625,-0.000015563
1574112658456,2019-11-18T16:30:58.456,0.350,0.000016625,0.000028250,-0.000017875
1574112658506,2019-11-18T16:30:58.506,0.400,0.000016250,0.000028250,-0.000016687
1574112658556,2019-11-18T16:30:58.556,0.450,0.000017688,0.000028625,-0.000016687
1574112658606,2019-11-18T16:30:58.606,0.500,0.000018062,0.000026813,-0.000015937
1574112658656,2019-11-18T16:30:58.656,0.550,0.000016250,0.000029375,-0.000016313
1574112658706,2019-11-18T16:30:58.706,0.600,0.000017688,0.000028250,-0.000016750
1574112658756,2019-11-18T16:30:58.756,0.650,0.000016625,0.000027937,-0.000017500
1574112658806,2019-11-18T16:30:58.806,0.700,0.000017000,0.000028625,-0.000016375
1574112658856,2019-11-18T16:30:58.856,0.750,0.000017375,0.000027937,-0.000017500
1574112658906,2019-11-18T16:30:58.906,0.800,0.000017000,0.000027563,-0.000015188
1574112658956,2019-11-18T16:30:58.956,0.850,0.000016625,0.000027937,-0.000014437
1574112659006,2019-11-18T16:30:59.006,0.900,0.000016250,0.000027563,-0.000017125
1574112659056,2019-11-18T16:30:59.056,0.950,0.000016250,0.000027187,-0.000016750
1574112659106,2019-11-18T16:30:59.106,1.000,0.000017000,0.000027563,-0.000015937
1574112659156,2019-11-18T16:30:59.156,1.050,0.000017000,0.000027187,-0.000017875
1574112659206,2019-11-18T16:30:59.206,1.100,0.000016625,0.000027187,-0.000016313
1574112659256,2019-11-18T16:30:59.256,1.150,0.000016250,0.000026813,-0.000017500
1574112659306,2019-11-18T16:30:59.306,1.200,0.000015875,0.000027937,-0.000016750
1574112659356,2019-11-18T16:30:59.356,1.250,0.000016625,0.000027937,-0.000015937
1574112659406,2019-11-18T16:30:59.406,1.300,0.000016625,0.000027187,-0.000016750
1574112659456,2019-11-18T16:30:59.456,1.350,0.000017000,0.000026437,-0.000017500
1574112659506,2019-11-18T16:30:59.506,1.400,0.000016250,0.000027563,-0.000017875
1574112659556,2019-11-18T16:30:59.556,1.450,0.000017375,0.000027563,-0.000017125
1574112659606,2019-11-18T16:30:59.606,1.500,0.000015875,0.000026437,-0.000016750
1574112659656,2019-11-18T16:30:59.656,1.550,0.000017000,0.000027563,-0.000017875
1574112659706,2019-11-18T16:30:59.706,1.600,0.000015875,0.000026125,-0.000016750
1574112659756,2019-11-18T16:30:59.756,1.650,0.000016250,0.000026125,-0.000017500
1574112659806,2019-11-18T16:30:59.806,1.700,0.000016250,0.000026813,-0.000017500
1574112659856,2019-11-18T16:30:59.856,1.750,0.000015875,0.000025750,-0.000018625
1574112659906,2019-11-18T16:30:59.906,1.800,0.000016625,0.000025750,-0.000016313
1574112659956,2019-11-18T16:30:59.956,1.850,0.000016625,0.000026125,-0.000017125
1574112660006,2019-11-18T16:31:00.006,1.900,0.000015563,0.000025375,-0.000018250
1574112660056,2019-11-18T16:31:00.056,1.950,0.000015875,0.000026437,-0.000017500
1574112660106,2019-11-18T16:31:00.106,2.000,0.000015875,0.000026813,-0.000017125
1574112660156,2019-11-18T16:31:00.156,2.050,0.000015875,0.000026125,-0.000015937
1574112660206,2019-11-18T16:31:00.206,2.100,0.000015875,0.000026813,-0.000015563
1574112660256,2019-11-18T16:31:00.256,2.150,0.000017000,0.000026437,-0.000016750
1574112660306,2019-11-18T16:31:00.306,2.200,0.000015563,0.000026813,-0.000015563
1574112660356,2019-11-18T16:31:00.356,2.250,0.000015875,0.000027187,-0.000017125
1574112660406,2019-11-18T16:31:00.406,2.300,0.000015875,0.000026437,-0.000017125
1574112660456,2019-11-18T16:31:00.456,2.350,0.000015563,0.000026437,-0.000015563
1574112660506,2019-11-18T16:31:00.506,2.400,0.000016250,0.000026813,-0.000015937
1574112660556,2019-11-18T16:31:00.556,2.450,0.000016625,0.000026437,-0.000015937
1574112660606,2019-11-18T16:31:00.606,2.500,0.000016625,0.000026125,-0.000015563
1574112660656,2019-11-18T16:31:00.656,2.550,0.000015875,0.000026437,-0.000016313
1574112660706,2019-11-18T16:31:00.706,2.600,0.000016250,0.000025375,-0.000015937
1574112660756,2019-11-18T16:31:00.756,2.650,0.000015875,0.000026437,-0.000016000
1574112660806,2019-11-18T16:31:00.806,2.700,0.000015875,0.000025375,-0.000015563
1574112660856,2019-11-18T16:31:00.856,2.750,0.000016625,0.000025750,-0.000015188
1574112660906,2019-11-18T16:31:00.906,2.800,0.000016625,0.000026125,-0.000015563
1574112660956,2019-11-18T16:31:00.956,2.850,0.000016625,0.000027187,-0.000015937
1574112661006,2019-11-18T16:31:01.006,2.900,0.000015875,0.000026437,-0.000016750
1574112661056,2019-11-18T16:31:01.056,2.950,0.000016250,0.000025750,-0.000015937
1574112661106,2019-11-18T16:31:01.106,3.000,0.000016250,0.000025750,-0.000016313
1574112661156,2019-11-18T16:31:01.156,3.050,0.000016250,0.000026437,-0.000016750
1574112661206,2019-11-18T16:31:01.206,3.100,0.000015563,0.000025750,-0.000015937
1574112661256,2019-11-18T16:31:01.256,3.150,0.000016625,0.000026813,-0.000016375
1574112661306,2019-11-18T16:31:01.306,3.200,0.000016250,0.000026437,-0.000015937
1574112661356,2019-11-18T16:31:01.356,3.250,0.000015875,0.000026125,-0.000016375
1574112661406,2019-11-18T16:31:01.406,3.300,0.000014813,0.000026125,-0.000016375
1574112661456,2019-11-18T16:31:01.456,3.350,0.000016250,0.000025375,-0.000016750
1574112661506,2019-11-18T16:31:01.506,3.400,0.000015563,0.000025750,-0.000015563
1574112661556,2019-11-18T16:31:01.556,3.450,0.000015875,0.000026437,-0.000015188
1574112661606,2019-11-18T16:31:01.606,3.500,0.000015188,0.000025750,-0.000016000
1574112661656,2019-11-18T16:31:01.656,3.550,0.000016250,0.000026125,-0.000015937
1574112661706,2019-11-18T16:31:01.706,3.600,0.000015875,0.000025750,-0.000015563
1574112661756,2019-11-18T16:31:01.756,3.650,0.000016250,0.000026125,-0.000015563
1574112661806,2019-11-18T16:31:01.806,3.700,0.000016250,0.000024625,-0.000015937
1574112661856,2019-11-18T16:31:01.856,3.750,0.000015875,0.000025750,-0.000016375
1574112661906,2019-11-18T16:31:01.906,3.800,0.000015875,0.000026437,-0.000015937
1574112661956,2019-11-18T16:31:01.956,3.850,0.000015188,0.000026437,-0.000017125
1574112662006,2019-11-18T16:31:02.006,3.900,0.000015563,0.000025750,-0.000016313
1574112662056,2019-11-18T16:31:02.056,3.950,0.000015875,0.000026813,-0.000015188
1574112662106,2019-11-18T16:31:02.106,4.000,0.000015563,0.000025750,-0.000016000
1574112662156,2019-11-18T16:31:02.156,4.050,0.000015563,0.000026125,-0.000016750
1574112662206,2019-11-18T16:31:02.206,4.100,0.000015875,0.000026125,-0.000016313
1574112662256,2019-11-18T16:31:02.256,4.150,0.000016250,0.000026125,-0.000016000
1574112662306,2019-11-18T16:31:02.306,4.200,0.000016250,0.000026125,-0.000016313
1574112662356,2019-11-18T16:31:02.356,4.250,0.000016625,0.000025750,-0.000016313
1574112662406,2019-11-18T16:31:02.406,4.300,0.000017000,0.000025375,-0.000016750
1574112662456,2019-11-18T16:31:02.456,4.350,0.000016250,0.000025750,-0.000017125
1574112662506,2019-11-18T16:31:02.506,4.400,0.000015875,0.000025375,-0.000017500
1574112662556,2019-11-18T16:31:02.556,4.450,0.000016625,0.000025375,-0.000017875
1574112662606,2019-11-18T16:31:02.606,4.500,0.000016250,0.000026813,-0.000017125
1574112662656,2019-11-18T16:31:02.656,4.550,0.000016625,0.000025750,-0.000017125
1574112662706,2019-11-18T16:31:02.706,4.600,0.000016250,0.000026437,-0.000017875
1574112662756,2019-11-18T16:31:02.756,4.650,0.000016250,0.000026125,-0.000017125
1574112662806,2019-11-18T16:31:02.806,4.700,0.000016250,0.000025750,-0.000016750
1574112662856,2019-11-18T16:31:02.856,4.750,0.000016625,0.000026125,-0.000017500
1574112662906,2019-11-18T16:31:02.906,4.800,0.000016625,0.000025750,-0.000016750
1574112662956,2019-11-18T16:31:02.956,4.850,0.000016625,0.000026437,-0.000017125
1574112663006,2019-11-18T16:31:03.006,4.900,0.000017000,0.000026437,-0.000017875
1574112663056,2019-11-18T16:31:03.056,4.950,0.000015875,0.000026813,-0.000017500
1574112663106,2019-11-18T16:31:03.106,5.000,0.000017000,0.000026813,-0.000016750
1574112663156,2019-11-18T16:31:03.156,5.050,0.000016625,0.000026437,-0.000016750
1574112663206,2019-11-18T16:31:03.206,5.100,0.000017688,0.000026125,-0.000016750
1574112663256,2019-11-18T16:31:03.256,5.150,0.000016625,0.000026437,-0.000017125
1574112663306,2019-11-18T16:31:03.306,5.200,0.000017000,0.000027187,-0.000016000
1574112663356,2019-11-18T16:31:03.356,5.250,0.000017000,0.000026437,-0.000017125
1574112663406,2019-11-18T16:31:03.406,5.300,0.000017000,0.000026437,-0.000017875
1574112663456,2019-11-18T16:31:03.456,5.350,0.000017000,0.000026437,-0.000016000
1574112663506,2019-11-18T16:31:03.506,5.400,0.000015875,0.000027187,-0.000018250
1574112663556,2019-11-18T16:31:03.556,5.450,0.000016625,0.000026813,-0.000017125
1574112663606,2019-11-18T16:31:03.606,5.500,0.000017375,0.000027187,-0.000017125
1574112663656,2019-11-18T16:31:03.656,5.550,0.000016625,0.000027187,-0.000017875
1574112663706,2019-11-18T16:31:03.706,5.600,0.000017375,0.000025750,-0.000017125
1574112663756,2019-11-18T16:31:03.756,5.650,0.000016625,0.000026813,-0.000016750
1574112663806,2019-11-18T16:31:03.806,5.700,0.000016625,0.000026125,-0.000017500
1574112663856,2019-11-18T16:31:03.856,5.750,0.000017000,0.000026437,-0.000017500
1574112663906,2019-11-18T16:31:03.906,5.800,0.000015875,0.000026125,-0.000017125
1574112663956,2019-11-18T16:31:03.956,5.850,0.000016625,0.000027187,-0.000017875
1574112664006,2019-11-18T16:31:04.006,5.900,0.000016625,0.000026813,-0.000018250
1574112664056,2019-11-18T16:31:04.056,5.950,0.000017688,0.000026437,-0.000016750
1574112664106,2019-11-18T16:31:04.106,6.000,0.000015875,0.000026125,-0.000017500
1574112664156,2019-11-18T16:31:04.156,6.050,0.000016625,0.000027187,-0.000017125
1574112664206,2019-11-18T16:31:04.206,6.100,0.000015875,0.000025375,-0.000017500
1574112664256,2019-11-18T16:31:04.256,6.150,0.000016625,0.000026125,-0.000018625
1574112664306,2019-11-18T16:31:04.306,6.200,0.000015563,0.000026437,-0.000017500
1574112664356,2019-11-18T16:31:04.356,6.250,0.000016625,0.000026437,-0.000016750
1574112664406,2019-11-18T16:31:04.406,6.300,0.000017000,0.000026125,-0.000017125
1574112664456,2019-11-18T16:31:04.456,6.350,0.000015875,0.000026437,-0.000017125
1574112664506,2019-11-18T16:31:04.506,6.400,0.000016625,0.000027937,-0.000016375
1574112664556,2019-11-18T16:31:04.556,6.450,0.000016250,0.000026813,-0.000016000
1574112664606,2019-11-18T16:31:04.606,6.500,0.000016625,0.000026813,-0.000017125
1574112664656,2019-11-18T16:31:04.656,6.550,0.000016625,0.000026813,-0.000017125
1574112664706,2019-11-18T16:31:04.706,6.600,0.000015875,0.000027937,-0.000017875
1574112664756,2019-11-18T16:31:04.756,6.650,0.000016250,0.000027187,-0.000016750
1574112664806,2019-11-18T16:31:04.806,6.700,0.000016625,0.000027187,-0.000015563
1574112664856,2019-11-18T16:31:04.856,6.750,0.000016625,0.000026813,-0.000016000
1574112664906,2019-11-18T16:31:04.906,6.800,0.000016625,0.000027563,-0.000015563
1574112664956,2019-11-18T16:31:04.956,6.850,0.000015563,0.000026813,-0.000015563
1574112665006,2019-11-18T16:31:05.006,6.900,0.000017375,0.000027187,-0.000014813
1574112665056,2019-11-18T16:31:05.056,6.950,0.000017000,0.000027563,-0.000014813
1574112665106,2019-11-18T16:31:05.106,7.000,0.000016250,0.000027563,-0.000013687
1574112665156,2019-11-18T16:31:05.156,7.050,0.000016250,0.000027563,-0.000013313
1574112665206,2019-11-18T16:31:05.206,7.100,0.000016625,0.000027563,-0.000013687
1574112665256,2019-11-18T16:31:05.256,7.150,0.000016250,0.000027187,-0.000012938
1574112665306,2019-11-18T16:31:05.306,7.200,0.000015563,0.000028250,-0.000013687
1574112665356,2019-11-18T16:31:05.356,7.250,0.000016250,0.000026813,-0.000012938
1574112665406,2019-11-18T16:31:05.406,7.300,0.000017000,0.000027937,-0.000014062
1574112665456,2019-11-18T16:31:05.456,7.350,0.000016625,0.000026437,-0.000013313
1574112665506,2019-11-18T16:31:05.506,7.400,0.000015188,0.000027563,-0.000013687
1574112665556,2019-11-18T16:31:05.556,7.450,0.000017375,0.000027563,-0.000013687
1574112665606,2019-11-18T16:31:05.606,7.500,0.000016625,0.000026813,-0.000015188
1574112665656,2019-11-18T16:31:05.656,7.550,0.000016625,0.000027937,-0.000014437
1574112665706,2019-11-18T16:31:05.706,7.600,0.000017000,0.000027563,-0.000012938
1574112665756,2019-11-18T16:31:05.756,7.650,0.000015875,0.000027937,-0.000014813
1574112665806,2019-11-18T16:31:05.806,7.700,0.000017000,0.000027563,-0.000014437
1574112665856,2019-11-18T16:31:05.856,7.750,0.000017000,0.000026813,-0.000014062
1574112665906,2019-11-18T16:31:05.906,7.800,0.000015563,0.000026813,-0.000015188
1574112665956,2019-11-18T16:31:05.956,7.850,0.000016250,0.000026813,-0.000015188
1574112666006,2019-11-18T16:31:06.006,7.900,0.000016250,0.000027187,-0.000014062
1574112666056,2019-11-18T16:31:06.056,7.950,0.000016625,0.000025750,-0.000014437
1574112666106,2019-11-18T16:31:06.106,8.000,0.000015875,0.000027187,-0.000014437
1574112666156,2019-11-18T16:31:06.156,8.050,0.000016250,0.000027187,-0.000014813
1574112666206,2019-11-18T16:31:06.206,8.100,0.000017000,0.000026813,-0.000014062
1574112666256,2019-11-18T16:31:06.256,8.150,0.000016625,0.000026813,-0.000014437
1574112666306,2019-11-18T16:31:06.306,8.200,0.000016625,0.000027563,-0.000014437
1574112666356,2019-11-18T16:31:06.356,8.250,0.000017000,0.000027187,-0.000015188
1574112666406,2019-11-18T16:31:06.406,8.300,0.000015563,0.000027563,-0.000014813
1574112666456,2019-11-18T16:31:06.456,8.350,0.000015563,0.000027563,-0.000015188
1574112666506,2019-11-18T16:31:06.506,8.400,0.000016625,0.000029000,-0.000012938
1574112666556,2019-11-18T16:31:06.556,8.450,0.000017000,0.000027937,-0.000012188
1574112666606,2019-11-18T16:31:06.606,8.500,0.000016625,0.000029000,-0.000012563
1574112666656,2019-11-18T16:31:06.656,8.550,0.000015875,0.000029000,-0.000011000
1574112666706,2019-11-18T16:31:06.706,8.600,0.000017000,0.000028625,-0.000011375
1574112666756,2019-11-18T16:31:06.756,8.650,0.000017000,0.000028625,-0.000011750
1574112666806,2019-11-18T16:31:06.806,8.700,0.000016250,0.000028625,-0.000012938
1574112666856,2019-11-18T16:31:06.856,8.750,0.000016625,0.000029000,-0.000012938
1574112666906,2019-11-18T16:31:06.906,8.800,0.000017000,0.000028250,-0.000012563
1574112666956,2019-11-18T16:31:06.956,8.850,0.000016625,0.000029000,-0.000012188
1574112667006,2019-11-18T16:31:07.006,8.900,0.000016625,0.000027937,-0.000011375
1574112667056,2019-11-18T16:31:07.056,8.950,0.000016250,0.000028250,-0.000012188
1574112667106,2019-11-18T16:31:07.106,9.000,0.000016625,0.000029000,-0.000012188
1574112667156,2019-11-18T16:31:07.156,9.050,0.000017000,0.000028250,-0.000012938
1574112667206,2019-11-18T16:31:07.206,9.100,0.000016250,0.000028250,-0.000014062
1574112667256,2019-11-18T16:31:07.256,9.150,0.000017000,0.000028250,-0.000012938
1574112667306,2019-11-18T16:31:07.306,9.200,0.000016625,0.000028250,-0.000013687
1574112667356,2019-11-18T16:31:07.356,9.250,0.000016625,0.000028250,-0.000012938
1574112667406,2019-11-18T16:31:07.406,9.300,0.000016625,0.000028250,-0.000013313
1574112667456,2019-11-18T16:31:07.456,9.350,0.000017000,0.000027563,-0.000013313
1574112667506,2019-11-18T16:31:07.506,9.400,0.000016250,0.000029000,-0.000012938
1574112667556,2019-11-18T16:31:07.556,9.450,0.000017000,0.000027937,-0.000014062
1574112667606,2019-11-18T16:31:07.606,9.500,0.000017688,0.000027937,-0.000013687
1574112667656,2019-11-18T16:31:07.656,9.550,0.000015875,0.000029375,-0.000012938
1574112667706,2019-11-18T16:31:07.706,9.600,0.000016625,0.000027187,-0.000012938
1574112667756,2019-11-18T16:31:07.756,9.650,0.000015875,0.000027563,-0.000013313
1574112667806,2019-11-18T16:31:07.806,9.700,0.000016625,0.000027187,-0.000013313
1574112667856,2019-11-18T16:31:07.856,9.750,0.000017000,0.000028625,-0.000013687
1574112667906,2019-11-18T16:31:07.906,9.800,0.000016625,0.000028250,-0.000012188
1574112667956,2019-11-18T16:31:07.956,9.850,0.000016625,0.000028250,-0.000014062
1574112668006,2019-11-18T16:31:08.006,9.900,0.000016625,0.000028250,-0.000013687
1574112668056,2019-11-18T16:31:08.056,9.950,0.000016625,0.000027937,-0.000012188
1574112668106,2019-11-18T16:31:08.106,10.000,0.000016625,0.000027937,-0.000012188
1574112668156,2019-11-18T16:31:08.156,10.050,0.000016250,0.000027937,-0.000013313
1574112668206,2019-11-18T16:31:08.206,10.100,0.000016625,0.000028250,-0.000011000
1574112668256,2019-11-18T16:31:08.256,10.150,0.000016625,0.000029000,-0.000010250
1574112668306,2019-11-18T16:31:08.306,10.200,0.000017375,0.000028625,-0.000010250
1574112668356,2019-11-18T16:31:08.356,10.250,0.000017000,0.000028625,-0.000011000
1574112668406,2019-11-18T16:31:08.406,10.300,0.000017000,0.000029000,-0.000011750
1574112668456,2019-11-18T16:31:08.456,10.350,0.000016625,0.000028625,-0.000011375
1574112668506,2019-11-18T16:31:08.506,10.400,0.000017688,0.000029000,-0.000011000
1574112668556,2019-11-18T16:31:08.556,10.450,0.000017688,0.000028250,-0.000011000
1574112668606,2019-11-18T16:31:08.606,10.500,0.000017375,0.000029375,-0.000009875
1574112668656,2019-11-18T16:31:08.656,10.550,0.000016625,0.000027937,-0.000011000
1574112668706,2019-11-18T16:31:08.706,10.600,0.000017000,0.000028625,-0.000011375
1574112668756,2019-11-18T16:31:08.756,10.650,0.000017000,0.000027937,-0.000011750
1574112668806,2019-11-18T16:31:08.806,10.700,0.000017000,0.000029000,-0.000011000
1574112668856,2019-11-18T16:31:08.856,10.750,0.000016625,0.000028250,-0.000010625
1574112668906,2019-11-18T16:31:08.906,10.800,0.000017688,0.000027563,-0.000011375
1574112668956,2019-11-18T16:31:08.956,10.850,0.000016625,0.000028250,-0.000010250
1574112669006,2019-11-18T16:31:09.006,10.900,0.000015563,0.000027937,-0.000010625
1574112669056,2019-11-18T16:31:09.056,10.950,0.000016250,0.000028250,-0.000010250
1574112669106,2019-11-18T16:31:09.106,11.000,0.000015875,0.000028625,-0.000011000
1574112669156,2019-11-18T16:31:09.156,11.050,0.000017375,0.000028250,-0.000011000
1574112669206,2019-11-18T16:31:09.206,11.100,0.000016250,0.000028625,-0.000010250
1574112669256,2019-11-18T16:31:09.256,11.150,0.000016625,0.000028250,-0.000010625
1574112669306,2019-11-18T16:31:09.306,11.200,0.000016625,0.000027563,-0.000011750
1574112669356,2019-11-18T16:31:09.356,11.250,0.000017000,0.000028625,-0.000011375
1574112669406,2019-11-18T16:31:09.406,11.300,0.000017000,0.000027937,-0.000011375
1574112669456,2019-11-18T16:31:09.456,11.350,0.000018062,0.000028625,-0.000012563
1574112669506,2019-11-18T16:31:09.506,11.400,0.000017000,0.000027563,-0.000011750
1574112669556,2019-11-18T16:31:09.556,11.450,0.000016625,0.000028625,-0.000010250
1574112669606,2019-11-18T16:31:09.606,11.500,0.000017000,0.000027563,-0.000011750
1574112669656,2019-11-18T16:31:09.656,11.550,0.000017000,0.000028250,-0.000011000
1574112669706,2019-11-18T16:31:09.706,11.600,0.000016625,0.000028625,-0.000010250
1574112669756,2019-11-18T16:31:09.756,11.650,0.000017000,0.000028250,-0.000010625
1574112669806,2019-11-18T16:31:09.806,11.700,0.000017000,0.000028625,-0.000011000
