epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493125961,2019-09-14T16:32:05.961,0.000,99163.078
1568493126097,2019-09-14T16:32:06.097,0.136,99160.078
1568493126232,2019-09-14T16:32:06.232,0.271,99156.570
1568493126368,2019-09-14T16:32:06.368,0.407,99161.773
1568493126504,2019-09-14T16:32:06.504,0.543,99154.406
1568493126639,2019-09-14T16:32:06.639,0.678,99159.531
1568493126775,2019-09-14T16:32:06.775,0.814,99152.203
1568493126910,2019-09-14T16:32:06.910,0.949,99155.633
1568493127046,2019-09-14T16:32:07.046,1.085,99158.234
1568493127183,2019-09-14T16:32:07.183,1.222,99155.633
1568493127317,2019-09-14T16:32:07.317,1.356,99160.000
1568493127454,2019-09-14T16:32:07.454,1.493,99153.031
1568493127590,2019-09-14T16:32:07.590,1.629,99152.203
1568493127724,2019-09-14T16:32:07.724,1.763,99161.773
1568493127861,2019-09-14T16:32:07.861,1.900,99165.680
1568493127995,2019-09-14T16:32:07.995,2.034,99157.469
1568493128132,2019-09-14T16:32:08.132,2.171,99167.891
1568493128268,2019-09-14T16:32:08.268,2.307,99151.031
1568493128403,2019-09-14T16:32:08.403,2.442,99155.406
1568493128539,2019-09-14T16:32:08.539,2.578,99168.891
1568493128675,2019-09-14T16:32:08.675,2.714,99163.750
1568493128810,2019-09-14T16:32:08.810,2.849,99164.656
1568493128946,2019-09-14T16:32:08.946,2.985,99162.984
1568493129081,2019-09-14T16:32:09.081,3.120,99164.656
1568493129217,2019-09-14T16:32:09.217,3.256,99161.219
1568493129353,2019-09-14T16:32:09.353,3.392,99163.359
1568493129488,2019-09-14T16:32:09.488,3.527,99158.688
1568493129624,2019-09-14T16:32:09.624,3.663,99165.188
1568493129761,2019-09-14T16:32:09.761,3.800,99166.023
1568493129895,2019-09-14T16:32:09.895,3.934,99158.219
1568493130032,2019-09-14T16:32:10.032,4.071,99161.281
1568493130166,2019-09-14T16:32:10.166,4.205,99163.891
1568493130303,2019-09-14T16:32:10.303,4.342,99164.359
