epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573068927026,2019-11-06T14:35:27.026,0.000,0.000033250,0.000039062,-0.000022563
1573068927076,2019-11-06T14:35:27.076,0.050,0.000031063,0.000039062,-0.000021437
1573068927126,2019-11-06T14:35:27.126,0.100,0.000030312,0.000037625,-0.000021063
1573068927176,2019-11-06T14:35:27.176,0.150,0.000028500,0.000038375,-0.000021063
1573068927226,2019-11-06T14:35:27.226,0.200,0.000030688,0.000039437,-0.000021063
1573068927276,2019-11-06T14:35:27.276,0.250,0.000030000,0.000037250,-0.000020313
1573068927326,2019-11-06T14:35:27.326,0.300,0.000030312,0.000038000,-0.000021813
1573068927376,2019-11-06T14:35:27.376,0.350,0.000030000,0.000038375,-0.000022563
1573068927426,2019-11-06T14:35:27.426,0.400,0.000030000,0.000038375,-0.000021813
1573068927476,2019-11-06T14:35:27.476,0.450,0.000030688,0.000038375,-0.000021813
1573068927526,2019-11-06T14:35:27.526,0.500,0.000030312,0.000037625,-0.000022563
1573068927576,2019-11-06T14:35:27.576,0.550,0.000031437,0.000038375,-0.000022187
1573068927626,2019-11-06T14:35:27.626,0.600,0.000031437,0.000039437,-0.000024500
1573068927676,2019-11-06T14:35:27.676,0.650,0.000031812,0.000038000,-0.000024875
1573068927726,2019-11-06T14:35:27.726,0.700,0.000031437,0.000038000,-0.000023688
1573068927776,2019-11-06T14:35:27.776,0.750,0.000031812,0.000037625,-0.000025250
1573068927826,2019-11-06T14:35:27.826,0.800,0.000033250,0.000038375,-0.000025250
1573068927876,2019-11-06T14:35:27.876,0.850,0.000032500,0.000038000,-0.000026375
1573068927926,2019-11-06T14:35:27.926,0.900,0.000033938,0.000038375,-0.000027125
1573068927976,2019-11-06T14:35:27.976,0.950,0.000035375,0.000038000,-0.000026375
1573068928026,2019-11-06T14:35:28.026,1.000,0.000035375,0.000037625,-0.000026750
1573068928076,2019-11-06T14:35:28.076,1.050,0.000037187,0.000039062,-0.000026750
1573068928126,2019-11-06T14:35:28.126,1.100,0.000037938,0.000038687,-0.000028625
1573068928176,2019-11-06T14:35:28.176,1.150,0.000038313,0.000039062,-0.000028250
1573068928226,2019-11-06T14:35:28.226,1.200,0.000039000,0.000039437,-0.000027875
1573068928276,2019-11-06T14:35:28.276,1.250,0.000040437,0.000039062,-0.000028625
1573068928326,2019-11-06T14:35:28.326,1.300,0.000039750,0.000038687,-0.000027875
1573068928376,2019-11-06T14:35:28.376,1.350,0.000040125,0.000039437,-0.000028250
1573068928426,2019-11-06T14:35:28.426,1.400,0.000039750,0.000040875,-0.000028625
1573068928476,2019-11-06T14:35:28.476,1.450,0.000040813,0.000039437,-0.000029000
1573068928526,2019-11-06T14:35:28.526,1.500,0.000041562,0.000039062,-0.000028625
1573068928576,2019-11-06T14:35:28.576,1.550,0.000041937,0.000040188,-0.000029000
1573068928626,2019-11-06T14:35:28.626,1.600,0.000042250,0.000040188,-0.000029000
1573068928676,2019-11-06T14:35:28.676,1.650,0.000041562,0.000039062,-0.000029375
1573068928726,2019-11-06T14:35:28.726,1.700,0.000043375,0.000039437,-0.000029000
1573068928776,2019-11-06T14:35:28.776,1.750,0.000043375,0.000039437,-0.000029375
1573068928826,2019-11-06T14:35:28.826,1.800,0.000044063,0.000039062,-0.000029375
1573068928876,2019-11-06T14:35:28.876,1.850,0.000043375,0.000039437,-0.000029375
1573068928926,2019-11-06T14:35:28.926,1.900,0.000044063,0.000039813,-0.000029750
1573068928976,2019-11-06T14:35:28.976,1.950,0.000043750,0.000040188,-0.000029000
1573068929026,2019-11-06T14:35:29.026,2.000,0.000044438,0.000039813,-0.000029375
1573068929076,2019-11-06T14:35:29.076,2.050,0.000044063,0.000040188,-0.000029375
1573068929126,2019-11-06T14:35:29.126,2.100,0.000045187,0.000040500,-0.000028625
1573068929176,2019-11-06T14:35:29.176,2.150,0.000045875,0.000041250,-0.000029000
1573068929226,2019-11-06T14:35:29.226,2.200,0.000047687,0.000040500,-0.000029375
1573068929276,2019-11-06T14:35:29.276,2.250,0.000047687,0.000040875,-0.000029375
1573068929326,2019-11-06T14:35:29.326,2.300,0.000048438,0.000041625,-0.000029000
1573068929376,2019-11-06T14:35:29.376,2.350,0.000047687,0.000040875,-0.000028250
1573068929426,2019-11-06T14:35:29.426,2.400,0.000049125,0.000042000,-0.000029375
1573068929476,2019-11-06T14:35:29.476,2.450,0.000048813,0.000041250,-0.000028250
1573068929526,2019-11-06T14:35:29.526,2.500,0.000048813,0.000042312,-0.000029000
1573068929576,2019-11-06T14:35:29.576,2.550,0.000049500,0.000042000,-0.000028625
1573068929626,2019-11-06T14:35:29.626,2.600,0.000050250,0.000042312,-0.000029375
1573068929676,2019-11-06T14:35:29.676,2.650,0.000050937,0.000041625,-0.000029375
1573068929726,2019-11-06T14:35:29.726,2.700,0.000050250,0.000041625,-0.000029000
1573068929776,2019-11-06T14:35:29.776,2.750,0.000050937,0.000042000,-0.000028625
