mean_accelerometer_x-axis (g),var_accelerometer_x-axis (g),median_accelerometer_x-axis (g),std_accelerometer_x-axis (g),min_accelerometer_x-axis (g),max_accelerometer_x-axis (g),range_accelerometer_x-axis (g),accelerometer_sum_xyz,accelerometer_abssum,mean_accelerometer_y-axis (g),var_accelerometer_y-axis (g),median_accelerometer_y-axis (g),std_accelerometer_y-axis (g),min_accelerometer_y-axis (g),max_accelerometer_y-axis (g),range_accelerometer_y-axis (g),mean_accelerometer_z-axis (g),var_accelerometer_z-axis (g),median_accelerometer_z-axis (g),std_accelerometer_z-axis (g),min_accelerometer_z-axis (g),max_accelerometer_z-axis (g),range_accelerometer_z-axis (g),Activity Type,mean_gyroscope_x-axis (deg/s),var_gyroscope_x-axis (deg/s),median_gyroscope_x-axis (deg/s),std_gyroscope_x-axis (deg/s),min_gyroscope_x-axis (deg/s),max_gyroscope_x-axis (deg/s),range_gyroscope_x-axis (deg/s),gyroscope_sum_xyz,gyroscope_abssum,mean_gyroscope_y-axis (deg/s),var_gyroscope_y-axis (deg/s),median_gyroscope_y-axis (deg/s),std_gyroscope_y-axis (deg/s),min_gyroscope_y-axis (deg/s),max_gyroscope_y-axis (deg/s),range_gyroscope_y-axis (deg/s),mean_gyroscope_z-axis (deg/s),var_gyroscope_z-axis (deg/s),median_gyroscope_z-axis (deg/s),std_gyroscope_z-axis (deg/s),min_gyroscope_z-axis (deg/s),max_gyroscope_z-axis (deg/s),range_gyroscope_z-axis (deg/s),Activity Type
0.51251,0.0014911649,0.51,0.038615604358859905,0.433,0.722,0.289,-73.253,73.253,0.82048,0.0002895445999999995,0.8205,0.017016010108130503,0.742,0.873,0.131,-0.1831325,9.589494375000004e-05,-0.1835,0.009792596374302376,-0.212,-0.16,0.05199999999999999,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.49845,0.0039063125,0.484,0.06250049999800002,0.407,0.659,0.25200000000000006,-61.415000000000006,61.415000000000006,0.8311274999999999,0.0014775112437499993,0.842,0.03843840844454931,0.725,0.899,0.17400000000000004,-0.15353750000000002,0.00199409859375,-0.1525,0.04465533107871892,-0.248,-0.057,0.191,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6013025000000001,0.0033461459937500003,0.616,0.057845881389689276,0.386,0.677,0.29100000000000004,-94.93,94.93,0.738115,0.0017822767750000018,0.7255,0.042217019968254534,0.685,0.864,0.17899999999999994,-0.237325,0.001729669375,-0.254,0.041589293994969426,-0.346,-0.141,0.205,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6477125000000001,0.00045487484375000034,0.649,0.02132779509818116,0.593,0.741,0.14800000000000002,-3.0529999999999973,88.46700000000001,0.7223225,0.0006698534937500008,0.731,0.02588152804124982,0.685,0.779,0.09399999999999997,-0.0076324999999999935,0.05207472244374999,0.038500000000000006,0.2281988660001403,-0.269,0.258,0.527,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6534175000000001,0.0006840081937500004,0.656,0.026153550308705708,0.571,0.752,0.18100000000000005,-16.295999999999992,77.15,0.7241325000000001,0.0003363949437500005,0.727,0.018341072589955053,0.662,0.781,0.119,-0.04073999999999998,0.039799997399999995,-0.101,0.19949936691628872,-0.261,0.216,0.477,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6184525,0.0001922827437500003,0.621,0.013866605343414095,0.561,0.662,0.10099999999999998,43.057,73.593,0.7640474999999999,0.00015054024375000028,0.767,0.012269484249551824,0.727,0.789,0.062000000000000055,0.1076425,0.02449880469375,0.18,0.15652094011265713,-0.257,0.241,0.498,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.60646,0.0005592134000000007,0.609,0.023647693333600228,0.557,0.705,0.1479999999999999,23.6,72.94200000000001,0.7713400000000001,0.000612994400000001,0.777,0.024758723715086788,0.725,0.815,0.08999999999999997,0.059000000000000004,0.03221979500000001,0.177,0.17949873258605478,-0.243,0.204,0.44699999999999995,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6099800000000001,0.001258194600000001,0.612,0.035471038890903674,0.55,0.663,0.11299999999999999,3.3899999999999935,86.78200000000001,0.7543724999999999,0.00024239374375000042,0.748,0.01556899944601452,0.732,0.799,0.06700000000000006,0.008474999999999984,0.051955234375000006,0.185,0.2279369087598584,-0.343,0.195,0.538,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6136199999999999,0.0007163906000000005,0.6125,0.02676547402905468,0.53,0.673,0.14300000000000002,1.825000000000001,53.655,0.7707050000000001,0.00016328297500000025,0.769,0.012778222685491135,0.737,0.814,0.07699999999999996,0.004562500000000002,0.02215719109375,0.07,0.14885291765279576,-0.311,0.213,0.524,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.5946775,0.0002226084937500002,0.6,0.014920070165719737,0.53,0.621,0.09099999999999997,1.2299999999999969,70.68199999999999,0.7784700000000001,0.00014102910000000029,0.7825,0.011875567354867736,0.753,0.802,0.049000000000000044,0.0030749999999999922,0.033725989375,0.1395,0.18364637043786083,-0.256,0.184,0.44,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.617155,0.00035037597500000065,0.617,0.01871833259133945,0.571,0.671,0.10000000000000009,23.023999999999997,39.604,0.7784725000000001,0.00013097924375000025,0.78,0.011444616365348393,0.748,0.806,0.05800000000000005,0.05755999999999999,0.0080631514,0.087,0.08979505220222325,-0.225,0.134,0.359,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.62421,0.0012209309000000008,0.622,0.034941821646846075,0.56,0.747,0.18699999999999994,113.798,113.798,0.7376524999999999,0.0014325867437500015,0.7255,0.037849527655573215,0.634,0.81,0.17600000000000005,0.284495,0.007432334974999999,0.321,0.08621099103362632,0.096,0.363,0.267,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6177425000000001,0.01371900619375,0.5375000000000001,0.11712816140343875,0.474,0.803,0.32900000000000007,-65.827,141.427,0.6681,0.0025334000000000008,0.677,0.05033289183029325,0.585,0.782,0.19700000000000006,-0.1645675,0.11379802544375,-0.375,0.3373396292221683,-0.479,0.293,0.772,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6449875,0.007122757343749997,0.706,0.08439642968603588,0.501,0.744,0.243,-84.963,96.047,0.6885325,0.005609838943749998,0.6515,0.07489885809376534,0.61,0.848,0.238,-0.21240749999999997,0.026165661443750002,-0.245,0.1617580336297088,-0.468,0.178,0.646,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6382275,0.003494965743749999,0.602,0.05911823528954496,0.533,0.73,0.19699999999999995,92.37400000000001,92.37400000000001,0.743835,0.002562937775,0.774,0.05062546567687057,0.663,0.827,0.16399999999999992,0.23093500000000003,0.00010556077499999997,0.232,0.010274277346850238,0.18,0.248,0.068,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.5674,0.003820024999999999,0.5385,0.0618063508063694,0.5,0.725,0.22499999999999998,-143.72199999999998,157.458,0.6822275000000001,0.0010294407437499995,0.677,0.03208489899859433,0.628,0.788,0.16000000000000003,-0.35930499999999993,0.038778256974999994,-0.425,0.19692195655893732,-0.501,0.237,0.738,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6044125,0.0010699923437500014,0.586,0.03271073743818689,0.56,0.714,0.15399999999999991,-18.142999999999986,102.021,0.7366225,0.004819539993750002,0.785,0.0694229068373689,0.633,0.814,0.18099999999999994,-0.04535749999999997,0.07401183469375,0.0805,0.2720511619047969,-0.39,0.237,0.627,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.6439675,0.00393269144375,0.65,0.06271117479165894,0.544,0.73,0.18599999999999994,54.419000000000004,98.929,0.7240099999999998,0.0025220249,0.7255,0.050219766028925306,0.652,0.801,0.14900000000000002,0.13604750000000002,0.04772197524375,0.232,0.21845359975003845,-0.39,0.28,0.67,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.4808612903225807,0.005071390437044747,,0.07121369557216327,0.301,0.561,0.26000000000000006,-119.297,119.297,0.7527612903225808,0.0012251172112382942,,0.0350016744062094,0.711,0.831,0.12,-0.38482903225806453,6.313528616024984e-05,,0.007945771589987334,-0.404,-0.37,0.03400000000000003,Sitting,0.2770666666666667,12.884284973333333,,3.5894686199120525,-6.768,7.256,14.024000000000001,-130.736,385.86199999999997,-3.1273444444444447,20.79239431469136,,4.559867795747083,-7.805,6.22,14.024999999999999,-1.452622222222222,26.492761790617287,,5.147111985435841,-11.159,8.598,19.757,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-0.6757675000000001,8.07126851844375,-0.244,2.8409978033155445,-13.476,6.524,20.0,-393.41,665.3879999999999,0.3124775,9.16453506949375,-0.427,3.027298311943134,-7.622,8.598,16.22,-0.9835250000000001,4.907079654375,-0.61,2.2151929158371284,-9.329,5.061,14.39,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,1.2443425,33.21389575019375,0.122,5.763149811534813,-13.902,16.22,30.122,796.2819999999999,2005.682,-0.6725275,72.44987267924374,-0.7625,8.511749096351686,-29.207,17.622,46.829,1.9907049999999997,53.246454402975004,0.8235,7.297016815313982,-9.512,25.915,35.427,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,0.77943,25.2841057551,0.2135,5.028330314836128,-12.012,18.537,30.549,941.866,2314.0640000000003,-1.585265,24.141571984774995,-0.915,4.913407370122591,-18.354,21.22,39.574,2.354665,102.80622143777498,0.7015,10.139340286121922,-29.817,42.195,72.012,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-2.7458349999999996,44.948406067775004,0.305,6.704357244939668,-19.634,3.72,23.354,-273.218,1016.308,6.3605075,280.4300846499438,-0.3355,16.74604683649081,-4.695,66.402,71.09700000000001,-0.683045,18.380738402975002,0.366,4.287276338536508,-15.488,5.793,21.281,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,0.07763250000000084,159.58119148244376,0.61,12.632544932927955,-34.817,26.768,61.585,-419.914,1052.544,-0.7070249999999999,499.92237156937495,-0.549,22.358943883139357,-52.866,71.463,124.329,-1.049785,15.384623743775,0.244,3.922323768351486,-14.878,6.768,21.646,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,4.14829,68.4443397009,0.854,8.273109433634975,-8.659,29.634,38.293,171.84699999999998,520.2829999999999,-5.2617925,146.29397024444378,-0.854,12.09520443169291,-48.537,7.744,56.281,0.42961749999999993,3.41531145619375,0.488,1.8480561290701507,-8.476,4.207,12.683,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-4.1417025,69.66884520399373,-0.122,8.346786519613026,-29.878,2.622,32.5,181.25800000000004,1088.622,3.2923275000000003,93.25528784524374,-0.488,9.65687774828095,-4.939,38.902,43.841,0.4531450000000001,18.805410143975,0.0,4.336520511190394,-14.146,13.476,27.622,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,0.8601974999999998,267.7847774234937,-0.61,16.36413081784345,-35.976,40.976,76.952,-238.71500000000003,913.387,-1.2006600000000003,431.17239252940004,-0.61,20.764691004910237,-57.317,54.085,111.402,-0.5967875,12.02923434234375,-0.305,3.4683186621681332,-13.049,8.415,21.464,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-0.9031574999999993,161.58547612769374,0.244,12.711627595539989,-36.89,27.927,64.81700000000001,-328.95700000000005,678.501,-0.7844874999999996,219.63944857484378,-1.037,14.820237804260895,-52.134,32.5,84.634,-0.8223925000000001,5.229141243443748,-0.183,2.286731563486136,-7.5,3.902,11.402000000000001,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,1.3946950000000005,125.89998326197501,0.244,11.220516176271705,-22.378,27.073,49.451,177.63999999999996,462.17199999999997,-1.356515,234.012978439775,-0.732,15.297482748471234,-39.695,49.085,88.78,0.4440999999999999,2.6018361550000004,0.427,1.6130208166666666,-3.72,5.854,9.574,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-0.6830124999999999,7.55552943234375,0.183,2.7487323318838723,-8.232,5.854,14.085999999999999,-78.83000000000003,582.7779999999999,1.9966000000000002,39.10566090499999,-0.39649999999999996,6.253451919140339,-11.524,17.317,28.841,-0.19707500000000006,4.342620004375,0.244,2.083895391898307,-6.159,4.756,10.915,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-0.08353750000000006,11.17072038859375,-0.244,3.3422627647439316,-9.085,8.598,17.683,1516.29,1894.594,0.3004549999999995,35.727800942975,-0.915,5.9772737048737365,-12.073,21.951,34.024,3.790725,39.629064934374995,1.4935,6.295162026062156,-4.695,26.585,31.28,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,5.739185,237.29623907077502,-0.122,15.404422711376593,-20.976,43.78,64.756,-263.77499999999986,3235.9990000000003,-6.70217,260.2562765961,-1.037,16.13246033920741,-61.402,17.866,79.268,-0.6594374999999997,154.44262312609374,0.1525,12.427494643977672,-30.854,29.329,60.183,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-5.654167500000001,34.54938630444375,-3.11,5.877872600222274,-20.732,2.317,23.049,-973.166,2553.3279999999995,4.5371625,69.29237604109375,0.061,8.324204228699207,-4.024,26.524,30.548000000000002,-2.432915,81.55564639777499,-0.061,9.0308164856659,-27.134,11.646,38.78,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,7.299879999999999,228.38268948560003,0.488,15.112335672740995,-2.256,60.61,62.866,44.94800000000009,2083.258,-6.6438375,238.41112160109373,-0.976,15.440567398936276,-62.256,6.463,68.719,0.11237000000000023,77.69203390809999,0.366,8.814308475887373,-24.39,23.476,47.866,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-0.11303249999999991,23.12821127644375,-0.854,4.809179896452591,-11.098,15.549,26.647,926.001,1016.8770000000001,-0.34257750000000015,12.952708583993749,-0.549,3.598987160854252,-12.073,11.585,23.658,2.3150025,17.52528227749375,0.732,4.186320852191546,-1.646,19.756,21.402,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-6.7928075,127.44941180044374,-0.671,11.289349485264584,-43.11,2.561,45.671,-695.839,1158.945,5.0282725,102.96733319324376,0.732,10.147282059410971,-2.622,42.744,45.366,-1.7395975000000001,28.052308430493753,0.183,5.29644299794624,-20.488,7.805,28.293,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,6.4527075,127.17572068694375,0.183,11.277221319409483,-2.439,31.585,34.024,207.86900000000014,2270.565,-6.9904575,212.0670963981938,-0.9455,14.562523696056044,-48.72,10.61,59.33,0.5196725000000003,78.55764296024375,0.244,8.863274956822888,-18.78,24.939,43.719,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,-1.4239633027522938,4.0380578885615686,,2.009491947871792,-6.463,1.402,7.865,-1157.82,1157.82,-3.954408256880734,7.019920461766685,,2.649513249970018,-10.183,-1.28,8.903,-5.311100917431192,5.7799668246780564,,2.404156156466975,-11.28,-2.256,9.024,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.5271447368421053,0.0010152816828254846,,0.03186348510168786,0.494,0.591,0.09699999999999998,-40.247,40.247,0.7834671052631579,0.0003289331284626045,,0.018136513679938723,0.749,0.811,0.062000000000000055,-0.2647828947368421,0.0002587620758310251,,0.016086083296782506,-0.299,-0.236,0.063,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.5955175,0.0002650546937500003,0.595,0.016280500414606436,0.544,0.646,0.10199999999999998,-87.688,87.688,0.754405,5.910597500000011e-05,0.754,0.007688041037871749,0.73,0.786,0.05600000000000005,-0.21922,0.0003626966,-0.218,0.019044595033762206,-0.268,-0.167,0.101,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.59363,0.0003770381000000002,0.593,0.019417468939076487,0.533,0.645,0.11199999999999999,-74.57900000000001,74.57900000000001,0.765935,0.00017339577500000028,0.767,0.013167982951082534,0.73,0.812,0.08200000000000007,-0.18644750000000002,0.00039951724374999995,-0.186,0.019987927450088466,-0.238,-0.125,0.11299999999999999,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.571855,0.000435743974999999,0.572,0.02087448143068467,0.529,0.637,0.10799999999999998,-70.906,70.906,0.7843725,6.731374375000012e-05,0.785,0.008204495337922993,0.76,0.804,0.04400000000000004,-0.177265,0.00045652977499999994,-0.179,0.021366557397016487,-0.229,-0.125,0.10400000000000001,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.4776175000000001,0.0011221211937500002,0.482,0.03349807746349035,0.38,0.564,0.18399999999999994,-165.731,165.731,0.7384350000000001,0.0010391657750000016,0.726,0.0322360942888558,0.691,0.818,0.127,-0.41432749999999996,0.0034262552437500007,-0.432,0.05853422284228262,-0.484,-0.204,0.28,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.48938499999999996,0.00027295677500000014,0.491,0.01652140354207233,0.453,0.529,0.07600000000000001,-170.83100000000002,170.83100000000002,0.727025,8.220937500000015e-05,0.7264999999999999,0.009066938568226882,0.697,0.756,0.05900000000000005,-0.42707750000000005,0.00016369149375000002,-0.428,0.012794197659486117,-0.455,-0.392,0.063,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.52349,0.0011896149,0.523,0.034490794424019866,0.453,0.603,0.14999999999999997,-157.582,157.582,0.7230625,0.0001134835937500002,0.724,0.010652867865039922,0.689,0.747,0.05800000000000005,-0.393955,0.000957692975,-0.39,0.030946614919890675,-0.457,-0.334,0.123,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.56462,0.00031466559999999906,0.563,0.017738816195000135,0.517,0.619,0.10199999999999998,-144.1,144.1,0.713505,6.161997500000011e-05,0.713,0.007849839170327002,0.689,0.738,0.049000000000000044,-0.36024999999999996,0.0001732525,-0.361,0.01316254154789264,-0.4,-0.323,0.07700000000000001,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.550075,0.00030937437499999916,0.5455000000000001,0.0175890413326025,0.517,0.604,0.08699999999999997,-145.745,145.745,0.7216825,5.447669375000009e-05,0.722,0.0073808328628956294,0.701,0.744,0.04300000000000004,-0.36436250000000003,0.00018406609375000012,-0.365,0.013567095995459019,-0.397,-0.332,0.065,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.549615,0.0004367667749999993,0.546,0.020898965883507235,0.496,0.612,0.11599999999999999,-122.074,122.074,0.745155,0.0009408259750000012,0.732,0.03067288664276646,0.695,0.832,0.137,-0.305185,0.009638340775,-0.3525,0.09817505169339102,-0.404,-0.046,0.35800000000000004,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.5410900000000001,0.0008910218999999991,0.5395000000000001,0.02984998994974704,0.472,0.596,0.124,-47.288,47.288,0.8151775000000001,0.00013095099374999932,0.815,0.011443382094031437,0.777,0.851,0.07399999999999995,-0.11821999999999999,0.0033604366,-0.101,0.057969272895215786,-0.283,-0.055,0.22799999999999998,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.46745000000000003,0.0006580025,0.467,0.02565155940678851,0.406,0.53,0.124,-179.365,179.365,0.7173875000000001,0.0021083323437499995,0.6964999999999999,0.045916580270638614,0.649,0.826,0.17699999999999994,-0.44841250000000005,0.01047424234375,-0.5,0.10234374599236634,-0.539,-0.204,0.3350000000000001,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
0.5368425,0.006786677693750001,0.522,0.08238129456223664,0.375,0.651,0.276,-129.02100000000002,129.02100000000002,0.7352824999999998,0.0011199376937500007,0.733,0.033465470170759605,0.653,0.819,0.16599999999999993,-0.3225525,0.01909649724375,-0.3415,0.1381900765024392,-0.509,-0.092,0.41700000000000004,Sitting,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,Sitting
